Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2019,Mehed ja naised,Järva maakond,30286,28661,1518,748,321,31,189,5,32,28,3,11,31,16,8,107
2019,Mehed ja naised,Lääne maakond,20507,18024,2329,1702,212,82,72,22,25,7,4,27,27,2,2,154
2019,Mehed ja naised,Lääne-Viru maakond,59325,51413,7684,5757,691,233,451,18,46,46,15,73,48,21,30,228
2019,Mehed ja naised,Põlva maakond,25006,23819,1151,826,134,13,56,6,15,6,4,3,11,2,4,36
2019,Mehed ja naised,Pärnu maakond,85938,76861,8403,6057,856,215,402,45,153,50,21,70,110,32,15,674
2019,Mehed ja naised,Rapla maakond,33311,31342,1873,1118,226,64,189,10,24,9,3,15,38,3,15,96
2019,Mehed ja naised,Saare maakond,33108,32395,582,250,71,15,110,1,15,8,2,12,20,0,1,131
2019,Mehed ja naised,Tartu maakond,152977,127707,24394,17483,1289,397,1157,64,292,155,99,166,519,126,95,876
2019,Mehed ja naised,Valga maakond,28370,22842,5301,3606,466,185,91,15,526,20,9,33,48,21,3,227
2019,Mehed ja naised,Viljandi maakond,46371,44258,2003,1115,241,61,245,9,44,16,7,32,30,11,0,110
2019,Mehed ja naised,Võru maakond,35782,33876,1772,1350,124,38,59,1,61,6,5,8,14,3,2,134
2019,Mehed ja naised,Maakond teadmata,1419,728,461,238,22,9,154,2,3,3,11,0,3,2,1,230
2019,Mehed,Kogu Eesti,625635,430131,184031,148171,11582,4817,3661,864,1361,696,1026,947,1200,881,728,11473
2019,Mehed,Harju maakond,278023,163702,105131,82916,7834,3141,1702,589,561,426,848,613,558,626,537,9190
2019,Mehed,Hiiu maakond,4768,4670,74,22,10,8,8,0,1,0,0,0,5,0,0,24
2019,Mehed,Ida-Viru maakond,62837,11820,50742,45892,1377,1122,514,188,142,137,75,132,167,112,78,275
2019,Mehed,Jõgeva maakond,13995,12723,1225,1023,61,22,60,4,6,2,1,8,10,7,0,47
2019,Mehed,Järva maakond,14786,13978,729,323,174,14,90,1,21,16,2,6,16,11,2,79
2019,Mehed,Lääne maakond,9879,8681,1096,779,88,28,37,7,14,3,2,15,19,1,2,102
2019,Mehed,Lääne-Viru maakond,28737,25044,3532,2641,312,88,191,4,24,18,11,36,28,12,23,161
2019,Mehed,Põlva maakond,12526,11938,563,389,70,4,29,1,9,4,2,1,7,2,3,25
2019,Mehed,Pärnu maakond,40674,36341,3845,2704,409,91,208,19,71,15,10,30,50,21,11,488
2019,Mehed,Rapla maakond,16566,15569,928,542,129,21,91,4,11,4,1,5,19,3,5,69
2019,Mehed,Saare maakond,16331,15937,310,116,41,5,69,0,4,4,0,4,13,0,0,84
2019,Mehed,Tartu maakond,71950,60028,11468,8027,654,152,446,38,155,50,52,73,255,67,62,454
2019,Mehed,Valga maakond,13842,11190,2487,1634,231,79,47,6,281,8,7,12,27,10,3,165
2019,Mehed,Viljandi maakond,22454,21468,906,464,115,22,110,2,19,4,5,10,17,6,0,80
2019,Mehed,Võru maakond,17587,16694,806,572,66,17,25,0,42,3,4,2,7,3,2,87
2019,Mehed,Maakond teadmata,680,348,189,127,11,3,34,1,0,2,6,0,2,0,0,143
2019,Naised,Kogu Eesti,699185,477497,215751,180128,12083,6689,3975,1065,1332,957,895,1032,1038,702,440,5937
2019,Naised,Harju maakond,320036,192858,122431,101684,7773,4091,1483,697,613,548,763,647,413,519,341,4747
2019,Naised,Hiiu maakond,4619,4535,75,40,6,1,8,0,5,1,1,1,5,0,0,9
2019,Naised,Ida-Viru maakond,73403,12032,61270,55356,1866,1743,627,247,115,183,50,119,175,78,36,101
2019,Naised,Jõgeva maakond,14739,13362,1363,1116,85,35,59,6,14,2,0,9,6,2,0,14
2019,Naised,Järva maakond,15500,14683,789,425,147,17,99,4,11,12,1,5,15,5,6,28
2019,Naised,Lääne maakond,10628,9343,1233,923,124,54,35,15,11,4,2,12,8,1,0,52
2019,Naised,Lääne-Viru maakond,30588,26369,4152,3116,379,145,260,14,22,28,4,37,20,9,7,67
2019,Naised,Põlva maakond,12480,11881,588,437,64,9,27,5,6,2,2,2,4,0,1,11
2019,Naised,Pärnu maakond,45264,40520,4558,3353,447,124,194,26,82,35,11,40,60,11,4,186
2019,Naised,Rapla maakond,16745,15773,945,576,97,43,98,6,13,5,2,10,19,0,10,27
2019,Naised,Saare maakond,16777,16458,272,134,30,10,41,1,11,4,2,8,7,0,1,47
2019,Naised,Tartu maakond,81027,67679,12926,9456,635,245,711,26,137,105,47,93,264,59,33,422
2019,Naised,Valga maakond,14528,11652,2814,1972,235,106,44,9,245,12,2,21,21,11,0,62
2019,Naised,Viljandi maakond,23917,22790,1097,651,126,39,135,7,25,12,2,22,13,5,0,30
2019,Naised,Võru maakond,18195,17182,966,778,58,21,34,1,19,3,1,6,7,0,0,47
2019,Naised,Maakond teadmata,739,380,272,111,11,6,120,1,3,1,5,0,1,2,1,87
2020,Mehed ja naised,Kogu Eesti,1328889,909552,406189,327802,24897,11536,8297,1948,3329,1744,1879,2068,2438,1608,1280,13148
